Phone,Name,Postal Address,Physical Address,Email
(08) 899 77666,Alawa Primary School,"PO Box 40446, Casuarina, 0811, NT","27 Pett Street, Alawa, 0810, NT",alawa.school@ntschools.net
(08) 8953 4578,Alice Springs Steiner School,"PO Box 2736, Alice Springs, 0871, NT","Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT",accounts@alicesteiner.nt.edu.au
(08) 8951 6800,Alice Springs School Of The Air,"PO Box 1220, Alice Springs, 0871, NT","80 Head St, Alice Springs, 0870, NT",assoa@assoa.nt.edu.au
(08) 895 52222,Acacia Hill School,"PO Box 435, ALICE SPRINGS, 0871, NT","80 Spearwood Rd, Alice Springs, 0870, NT",acaciahill.school@ntschools.net
(08) 895 52366,Alice Springs Language Centre,"PO Box 9045, Alice Springs, 0871, NT","Milner Road, Alice SPrings, 0870, NT",alice.language@ntschools.net
(08) 8976 7034,Adelaide River School,"C/- Post Office, Adelaide River, 0846, NT","31 Memorial Tce, Adelaide River, 0846, NT",adelaideriver.ps@ntschools.net
(08) 8987 6793,Alyarrmandumanja Umbakumba School,"PO Box 698, Alyangula, 0885, NT","N/A, Umbakumba, NT",admin.umbakumba@ntschools.net
(08) 9168 7380,Amanbidji School,"PMB 16, via Katherine, 0851, NT","N/A, Amanbidgi (Kildirk), NT",nicolette.correy@ntschools.net
(08) 8952 3402,Amoonguna School,"PO Box  2529,, Alice Springs, 0871, NT","N/A, Amoonguna, NT",cherie.gibbens@ntschools.net
(07) 4748 4887,Alpurrurulam School,"PMB 46, Mt Isa, 4825, QLD","N/A, Alpurrurulam (Lake Nash), NT",daven.scott@ntschools.net
(08) 8987 6366,Alyangula Area School,"PMB 3, Alyangula, Groote Eylandt, 0885, NT","Cnr Flinders St & Ayawarra Cr, Alyangula, NT",alyangula.admin@ntschools.net
(08) 8964 1957,Alekarenge School,"LMB 161, via Alice Springs, 0872, NT","N/A, Ali Curung (Warrabri), NT",admin.alekacec@ntschools.net
(08) 8956 9977,Alcoota School,"PMB 129,, via Alice Springs, 0872, NT","N/A, Engawala (Alcoota Stn), NT",suzanne.stone@ntschools.net
(08) 8987 9114,Baniyala Garrangali School,"PO Box 1496, NHULUNBUY, 0881, NT","Yilpara Community, Yirrkala, 0880, NT",daniel.ellem@ntschools.net
(08) 8956 2014,Yulara School,"PO Box 146, Yulara, 0872, NT","21 Winmati St, Yulara, 0872, NT",yulara.school@ntschools.net
(08) 792 30222,Zuccoli Primary School,"PO Box 2222, PALMERSTON, 0832, NT","130 Zuccoli Parade, Zuccoli, 0830, NT",ZuccoliPrimary@ntschools.net
(08) 899 77400,Bakewell Primary School,"PO Box 1300, PALMERSTON, 0831, NT","1 Forrest Parade, Bakewell, 0832, NT",admin.bakewell@ntschools.net
(08) 8978 2334,Woolaning School,"PO Box 3261, Palmerston, 0831, NT","Litchfield Park Rd, Litchfield Park, NT",admin.woolasch@ntschools.net
(08) 8956 9178,Arlparra School,"PMB 18, via ALICE SPRINGS, 0872, NT",", Arlparra Community, Utopia, NT",stephen.nimmo@ntschools.net
(08) 8956 4011,Yuendumu School,"C/ - Post Office, Yuendumu, 0870, NT","Conniston Rd, Yuendumu, NT",michael.timewell@ntschools.net
(08) 898 71988,Yirrkala School,"PO Box 896, Nhulunbuy, 0881, NT","Rankine Road, Yirrkala, NT",admin.yirrkala@ntschools.net
(08) 898 71224,Yirrkala Homeland School,"PMB 747, Nhulunbuy, 0881, NT","Galpu Rd, Yirrkala, NT",yhs.admin@ntschools.net
(08) 8950 5644,Yirara College,"PMB 51, Alice Springs, 0871, NT","470 South Stuart Highway, Alice Springs, NT",info@yirara.nt.edu.au
(08) 8952 5633,Yipirinya School,"C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT","Lovegrove Dr, Alice Springs, NT",yipirinya@yipirinya.com.au
(08) 8975 0809,Yarralin School,"PMB 34, via Katherine, 0851, NT","N/A, Yarralin, NT",david.oke@ntschools.net
(08) 8978 3986,Wurankuwu Homeland Learning Centre,"Nguiu, Bathurst Island, 0822, NT","Community ID 868, Wurankuwu, NT",tba
(08) 8978 3970,Xavier CEC,"PMB 139,, via Winnellie, 0822, NT","Kerinauia Hwy, Nguiu, NT",admin.xcec@nt.catholic.edu.au
(08) 898 37800,Wulagi Primary School,"24 Brolga St, WULAGI, 0812, NT","24 Brolga St, Wulagi, 0812, NT",wulagi.primary@ntschools.net
(08) 8975 4529,Wugularr School,"PMB 6, Katherine, 0851, NT","Laiwanga St, Wugularr, NT",admin.wugulsch@ntschools.net
(08) 8978 2984 / 0477 333 413,Woolianna School,"PMB 194, Winnellie, 0821, NT","Wooliana Rd, Daly River, NT",woolianna.school@ntschools.net
(08) 898 37600,Woodroffe Primary School,"PO Box 2021, PALMERSTON, 0831, NT","55 Woodroffe Ave, Woodroffe, 0830, NT",woodroffe.ps@ntschools.net
(08) 8956 8408,Willowra School,"PMB 102, via Alice Springs, 0872, NT","N/A, Willowra, NT",willowra.school@ntschools.net
